donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,WESTMINSTER ABBEY LIMITED,MISSION,BC,"20,000",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2021,CHRISTIAN SCHOOL FOUNDATION (CANADA) INC.,HAMILTON,ON,"8,500",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2021,CANADAHELPS CANADON,TORONTO,ON,"6,602",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2021,ORDER OF ST. CLARE,MISSION,BC,100,0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,NORTHMOUNT FOUNDATION INC.,NESTLETON STATION,ON,"50,000",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,Fiera Capital Foundation - Fondation Fiera Capital,TORONTO,ON,"50,000",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,WESTMINSTER ABBEY LIMITED,MISSION,BC,"20,000",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,CANADAHELPS CANADON,TORONTO,ON,"2,564",0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,PayPal Giving Fund Canada,TORONTO,ON,290,0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
2020,ORDER OF ST. CLARE,MISSION,BC,100,0,https://www.charitydata.ca/charity/wayside-academy-incorporated/894588953RR0001/,WAYSIDE ACADEMY INCORPORATED,Advancement of Education,Teaching Institutions / Other,Charitable Organization,894588953RR0001,OLWAYSIDE.CA,CA,Ontario,PETERBOROUGH,3
