donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,CANADAHELPS CANADON,TORONTO,ON,"84,741",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"17,994",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,CHAN BETTER WORLD FOUNDATION,VANCOUVER,BC,"10,000",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,"4,397",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,"1,771",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,CHRISTIAN STEWARDSHIP SERVICES,MARKHAM,ON,"1,250",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2021,PayPal Giving Fund Canada,TORONTO,ON,947,0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2020,CANADAHELPS CANADON,TORONTO,ON,"55,327",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"32,132",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
2020,CHAN BETTER WORLD FOUNDATION,VANCOUVER,BC,"10,000",0,https://www.charitydata.ca/charity/canadian-society-for-educating-girls-of-rural-china/834359077RR0001/,CANADIAN SOCIETY FOR EDUCATING GIRLS OF RURAL CHINA,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,834359077RR0001,www.egrc.ca,CA,British Columbia,VANCOUVER,1
