donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2020,CANADAHELPS CANADON,TORONTO,ON,103,0,https://www.charitydata.ca/charity/support-ontario-youth/752346122RR0001/,Support Ontario Youth,Advancement of Education,Support of schools and education / Scholarships / bursaries / awards (scholastic achievement),Charitable Organization,752346122RR0001,n/a,CA,Ontario,ETOBICOKE,2
2021,COMMUNITY FOUNDATIONS OF CANADA,OTTAWA,ON,"235,765",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2021,PARTNERS IN ART,NORTH YORK,ON,"10,000",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2021,CANADAHELPS CANADON,TORONTO,ON,"2,064",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,24,0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2020,RBC FOUNDATION/RBC FONDATION,TORONTO,ON,"25,000",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2020,CANADAHELPS CANADON,TORONTO,ON,"7,120",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2020,PANICARO FOUNDATION,OTTAWA,ON,"4,500",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2020,THE COUNCIL FOR BUSINESS AND THE ARTS IN CANADA,TORONTO,ON,"3,375",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
2019,RBC FOUNDATION/RBC FONDATION,TORONTO,ON,"25,000",0,https://www.charitydata.ca/charity/sustainable-thinking-and-expression-on-public-space-steps-initiative/834843799RR0001/,SUSTAINABLE THINKING AND EXPRESSION ON PUBLIC SPACE (STEPS) INITIATIVE,Advancement of Education,Education in the arts / Other,Charitable Organization,834843799RR0001,WWW.STEPSINITIATIVE.COM,CA,Ontario,TORONTO,2
