donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,FIDUCIE CHARITABLE FOURNIER-ETHIER,MONTREAL,QC,"9,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2020,FIDUCIE CHARITABLE FOURNIER-ETHIER,MONTREAL,QC,"6,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2019,OEUVRES REGIS-VERNET,MONTRÉAL,QC,"10,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2019,FIDUCIE CHARITABLE FOURNIER-ETHIER,MONTREAL,QC,"6,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2018,OEUVRES REGIS-VERNET,MONTRÉAL,QC,"10,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2018,FIDUCIE CHARITABLE FOURNIER-ETHIER,MONTREAL,QC,"6,000",0,https://www.charitydata.ca/charity/college-rivier/107621443RR0001/,COLLEGE RIVIER,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107621443RR0001,WWW.CRIVIER.QC.CA,CA,Quebec,COATICOOK,3
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,25,0,https://www.charitydata.ca/charity/community-ambitions-day-service-inc/108204629RR0001/,Community Ambitions Day Service Inc.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,108204629RR0001,n/a,CA,Manitoba,WINNIPEG,3
2018,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"1,000",0,https://www.charitydata.ca/charity/community-ambitions-day-service-inc/108204629RR0001/,Community Ambitions Day Service Inc.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,108204629RR0001,n/a,CA,Manitoba,WINNIPEG,3
2021,United Way of Newfoundland and Labrador Inc.,ST. JOHN'S,NL,"85,000",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,COMMUNITY FOOD CENTRES CANADA,TORONTO,ON,"36,250",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,COMMUNITY FOOD CENTRES CANADA,TORONTO,ON,"20,000",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,COMMUNITY FOOD CENTRES CANADA,TORONTO,ON,"16,250",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,PETER GZOWSKI FOUNDATION FOR LITERACY,TORONTO,ON,"6,167",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,CANADAHELPS CANADON,TORONTO,ON,474,0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,PayPal Giving Fund Canada,TORONTO,ON,50,0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,35,0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2020,PayPal Giving Fund Canada,TORONTO,ON,"42,384",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2020,PATTEN FAMILY FOUNDATION INC.,ST. JOHN'S,NL,"25,000",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2020,CANADAHELPS CANADON,TORONTO,ON,"5,532",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2020,WILLIAMS FAMILY FOUNDATION INC.,ST JOHN'S,NL,"5,000",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2020,PETER GZOWSKI FOUNDATION FOR LITERACY,TORONTO,ON,"4,000",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
2019,PETER GZOWSKI FOUNDATION FOR LITERACY,TORONTO,ON,"2,750",0,https://www.charitydata.ca/charity/community-centre-alliance-newfoundland-and-labrador-inc/853021137RR0001/,Community Centre Alliance Newfoundland and Labrador Inc.,Advancement of Education,Support of schools and education / Other,Charitable Organization,853021137RR0001,CCANL.CA,CA,Newfoundland and Labrador,ST. JOHN'S,3
