donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,MY TRIBUTE GIFT FOUNDATION,TORONTO,ON,69,0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2020,UNITED WAY NIAGARA,ST.CATHARINES,ON,"39,079",0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,100,0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2019,RBC FOUNDATION/RBC FONDATION,TORONTO,ON,"2,000",0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2018,UNITED WAY NIAGARA,ST.CATHARINES,ON,"48,826",0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2018,RBC FOUNDATION/RBC FONDATION,TORONTO,ON,"2,000",0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2018,FAITH EVANGELICAL LUTHERAN CHURCH (ST CATHARINES),ST CATHARINES,ON,"1,103",0,https://www.charitydata.ca/charity/mainstream--an-unsheltered-workshop/119028298RR0001/,MAINSTREAM : AN UNSHELTERED WORKSHOP,Advancement of Education,Teaching Institutions / Other,Charitable Organization,119028298RR0001,WWW.MAINSTREAMSERVICES.COM,CA,Ontario,ST CATHARINES,4
2021,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,970,0,https://www.charitydata.ca/charity/maison-montessori-des-4-vallees/878485515RR0001/,MAISON MONTESSORI DES 4 VALLEES,Advancement of Education,Teaching Institutions / Independent elementary schools (includes religious),Charitable Organization,878485515RR0001,n/a,CA,Quebec,CHELSEA,4
2020,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,"1,162",0,https://www.charitydata.ca/charity/maison-montessori-des-4-vallees/878485515RR0001/,MAISON MONTESSORI DES 4 VALLEES,Advancement of Education,Teaching Institutions / Independent elementary schools (includes religious),Charitable Organization,878485515RR0001,n/a,CA,Quebec,CHELSEA,4
2019,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,"2,067",0,https://www.charitydata.ca/charity/maison-montessori-des-4-vallees/878485515RR0001/,MAISON MONTESSORI DES 4 VALLEES,Advancement of Education,Teaching Institutions / Independent elementary schools (includes religious),Charitable Organization,878485515RR0001,n/a,CA,Quebec,CHELSEA,4
