donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,Second Harvest Canada Deuxième Récolte Canada,ETOBICOKE,ON,"10,000",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"7,504",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,NIAGARA COMMUNITY FOUNDATION FONDATION COMMUNAUTAIRE DE NIAGARA,ST CATHARINES,ON,"5,086",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,NIAGARA COMMUNITY FOUNDATION FONDATION COMMUNAUTAIRE DE NIAGARA,ST CATHARINES,ON,"2,914",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,MAZON CANADA,TORONTO,ON,"2,450",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,CANADAHELPS CANADON,TORONTO,ON,155,0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,NIAGARA-ON-THE-LAKE ROTARY FOUNDATION,NIAGARA ON THE LAKE,ON,0,"9,000",https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2020,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"9,308",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2020,NIAGARA COMMUNITY FOUNDATION FONDATION COMMUNAUTAIRE DE NIAGARA,ST CATHARINES,ON,"7,400",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2020,Second Harvest Canada Deuxième Récolte Canada,TORONTO,ON,"5,000",0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2020,CANADAHELPS CANADON,TORONTO,ON,243,0,https://www.charitydata.ca/charity/links-for-greener-learning-inc/853708105RR0001/,LINKS FOR GREENER LEARNING INC.,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,853708105RR0001,n/a,CA,Ontario,ST CATHARINES,2
2021,BOOKS OVER BORDERS LIVRES TRANSFRONTIÈRES,VANCOUVER,BC,"2,368","2,368",https://www.charitydata.ca/charity/literacy-alberni-society/852039940RR0001/,LITERACY ALBERNI SOCIETY,Advancement of Education,Support of schools and education / Literacy groups,Charitable Organization,852039940RR0001,WWW.LITERACYALBERNI.CA,CA,British Columbia,PORT ALBERNI,2
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,971,0,https://www.charitydata.ca/charity/literacy-alberni-society/852039940RR0001/,LITERACY ALBERNI SOCIETY,Advancement of Education,Support of schools and education / Literacy groups,Charitable Organization,852039940RR0001,WWW.LITERACYALBERNI.CA,CA,British Columbia,PORT ALBERNI,2
2021,CANADAHELPS CANADON,TORONTO,ON,118,0,https://www.charitydata.ca/charity/literacy-alberni-society/852039940RR0001/,LITERACY ALBERNI SOCIETY,Advancement of Education,Support of schools and education / Literacy groups,Charitable Organization,852039940RR0001,WWW.LITERACYALBERNI.CA,CA,British Columbia,PORT ALBERNI,2
