donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,THE COMMUNITY FOUNDATION OF MISSISSAUGA,MISSISSAUGA,ON,"29,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"20,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,CANADAHELPS CANADON,TORONTO,ON,"15,356",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,THE MCLEAN FOUNDATION,TORONTO,ON,"10,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,BURLINGTON COMMUNITY FOUNDATION,BURLINGTON,ON,"7,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,MINTO FOUNDATION INC,OTTAWA,ON,"5,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,735,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,CHARITIES AID FOUNDATION CANADA,TORONTO,ON,485,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,PARK PEOPLE PROJECTS CANADA/AMIS DES PARCS PROJETS CANADA,TORONTO,ON,300,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2021,PayPal Giving Fund Canada,TORONTO,ON,194,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,THE LAWSON FOUNDATION,TORONTO,ON,"100,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,RBC FOUNDATION/RBC FONDATION,TORONTO,ON,"50,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,TORONTO FOUNDATION,TORONTO,ON,"10,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,THE MCLEAN FOUNDATION,TORONTO,ON,"5,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,THE SJ FOUNDATION,CALGARY,AB,"5,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,ONTARIO WILDLIFE FOUNDATION,PETERBOROUGH,ON,"3,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,CANADAHELPS CANADON,TORONTO,ON,"2,444",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,725,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,UNITED WAY OF GREATER TORONTO,TORONTO,ON,230,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2020,CHARITIES AID FOUNDATION CANADA,TORONTO,ON,60,0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2019,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"40,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
2019,THE COMMUNITY FOUNDATION OF MISSISSAUGA,MISSISSAUGA,ON,"15,000",0,https://www.charitydata.ca/charity/ecospark-environmental-organization/865058721RR0001/,ECOSPARK ENVIRONMENTAL ORGANIZATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,865058721RR0001,WWW.ECOSPARK.CA,CA,Ontario,TORONTO,2
