donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,NACKAWIC BAPTIST CHURCH INC.,NACKAWIC,NB,734,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2021,MIDDLE SOUTHAMPTON UNITED BAPTIST CHURCH,SOUTHAMPTON,NB,150,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2021,Canada Donates Inc.,ROTHESAY,NB,92,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2020,NACKAWIC BAPTIST CHURCH INC.,NACKAWIC,NB,700,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2020,MIDDLE SOUTHAMPTON UNITED BAPTIST CHURCH,SOUTHAMPTON,NB,150,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,NACKAWIC BAPTIST CHURCH INC.,NACKAWIC,NB,947,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,MIDDLE SOUTHAMPTON UNITED BAPTIST CHURCH,SOUTHAMPTON,NB,250,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,MEDUCTIC UNITED BAPTIST CHURCH,MEDUCTIC,NB,250,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,WESLEYAN CHURCH OF MAPLE RIDGE,MAPLE RIDGE,NB,117,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,CHRISTIAN REFORMED CHURCH OF NASHWAAKSIS,FREDERICTON,NB,100,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,UNITED WAY OF GREATER TORONTO,TORONTO,ON,90,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
2019,UNITED WAY HALTON & HAMILTON,HAMILTON,ON,64,0,https://www.charitydata.ca/charity/river-valley-christian-academy-inc/855562732RR0001/,RIVER VALLEY CHRISTIAN ACADEMY INC.,Advancement of Education,Teaching Institutions / College (includes religious),Charitable Organization,855562732RR0001,WWW.RIVERVALLEYCHRISTIANACADEMY.COM,CA,New Brunswick,NACKAWIC,2
