donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,420,0,https://www.charitydata.ca/charity/fondation-pour-les-aines-de-loutaouais/118924711RR0001/,FONDATION POUR LES AINÉS DE L'OUTAOUAIS,Advancement of Education,Foundations Advancing Education / Foundations funding educational QDs in general,Public Foundation,118924711RR0001,n/a,CA,Quebec,HULL,4
2021,CANADAHELPS CANADON,TORONTO,ON,336,0,https://www.charitydata.ca/charity/fondation-pour-les-aines-de-loutaouais/118924711RR0001/,FONDATION POUR LES AINÉS DE L'OUTAOUAIS,Advancement of Education,Foundations Advancing Education / Foundations funding educational QDs in general,Public Foundation,118924711RR0001,n/a,CA,Quebec,HULL,4
2020,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,240,0,https://www.charitydata.ca/charity/fondation-pour-les-aines-de-loutaouais/118924711RR0001/,FONDATION POUR LES AINÉS DE L'OUTAOUAIS,Advancement of Education,Foundations Advancing Education / Foundations funding educational QDs in general,Public Foundation,118924711RR0001,n/a,CA,Quebec,HULL,4
2019,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,240,0,https://www.charitydata.ca/charity/fondation-pour-les-aines-de-loutaouais/118924711RR0001/,FONDATION POUR LES AINÉS DE L'OUTAOUAIS,Advancement of Education,Foundations Advancing Education / Foundations funding educational QDs in general,Public Foundation,118924711RR0001,n/a,CA,Quebec,HULL,4
2018,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,240,0,https://www.charitydata.ca/charity/fondation-pour-les-aines-de-loutaouais/118924711RR0001/,FONDATION POUR LES AINÉS DE L'OUTAOUAIS,Advancement of Education,Foundations Advancing Education / Foundations funding educational QDs in general,Public Foundation,118924711RR0001,n/a,CA,Quebec,HULL,4
2021,CANADAHELPS CANADON,TORONTO,ON,"14,229",0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2021,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,380,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,142,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2021,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,97,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2021,UNITED WAY OF GREATER MONCTON AND SOUTHEASTERN NEW BRUNSWICK REGION INC\CENTRAIDE DE LA REGION DU GRAND MONCTON ET DU SUD EST DU NOUVEAU-BRUNSWICK INC,MONCTON,NB,90,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,CANADAHELPS CANADON,TORONTO,ON,"15,712",0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"4,557",0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,195,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,167,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,UNITED WAY OF GREATER TORONTO,TORONTO,ON,100,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2020,UNITED WAY OF GREATER MONCTON AND SOUTHEASTERN NEW BRUNSWICK REGION INC\CENTRAIDE DE LA REGION DU GRAND MONCTON ET DU SUD EST DU NOUVEAU-BRUNSWICK INC,MONCTON,NB,45,0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
2019,CANADAHELPS CANADON,TORONTO,ON,"8,061",0,https://www.charitydata.ca/charity/fondation-vipassana-de-lest-du-canadaeastern-canada-vipassana-foundation/890835176RR0001/,FONDATION VIPASSANA DE L'EST DU CANADA/EASTERN CANADA VIPASSANA FOUNDATION,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,890835176RR0001,WWW.SUTTAMA.DHAMMA.ORG,CA,Quebec,NOTRE-DAME-DE-BONSECOUR,4
