donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,SHUSWAP COMMUNITY FOUNDATION,SALMON ARM,BC,"5,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2020,Nicola Wealth Private Giving Foundation,VANCOUVER,BC,"5,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2020,SHUSWAP COMMUNITY FOUNDATION,SALMON ARM,BC,"3,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,25,0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2019,Nicola Wealth Private Giving Foundation,VANCOUVER,BC,"8,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2019,SHUSWAP COMMUNITY FOUNDATION,SALMON ARM,BC,"2,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2019,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"1,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2019,Nicola Wealth Private Giving Foundation,VANCOUVER,BC,"1,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2018,SHUSWAP COMMUNITY FOUNDATION,SALMON ARM,BC,"3,000",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
2018,PRESIDENT'S CHOICE CHILDREN'S CHARITY-LA FONDATION POUR LES LA FONDATION POUR LES ENFANTS LE CHOIX DU PRÉSIDENT,BRAMPTON,ON,"2,970",0,https://www.charitydata.ca/charity/shuswap-day-care-society/107979288RR0001/,SHUSWAP DAY CARE SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107979288RR0001,WWW.SHUSWAPDAYCARE.CA,CA,British Columbia,SALMON ARM,3
