donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,HERITAGE SCHOOL PARENT COUNCIL,EDMONTON,AB,"13,300",0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2021,THE EDMONTON COMMUNITY FOUNDATION PRIV ACT,EDMONTON,AB,539,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2021,CANADAHELPS CANADON,TORONTO,ON,96,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2021,United Way of the Alberta Capital Region,EDMONTON,AB,22,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2020,HERITAGE SCHOOL PARENT COUNCIL,EDMONTON,AB,"98,486",0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2020,THE EDMONTON COMMUNITY FOUNDATION PRIV ACT,EDMONTON,AB,537,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2020,United Way of the Alberta Capital Region,EDMONTON,AB,468,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2020,PayPal Giving Fund Canada,TORONTO,ON,40,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2019,HERITAGE SCHOOL PARENT COUNCIL,EDMONTON,AB,"58,151",0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2019,THE EDMONTON COMMUNITY FOUNDATION PRIV ACT,EDMONTON,AB,505,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2019,United Way of the Alberta Capital Region,EDMONTON,AB,468,0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2018,HERITAGE SCHOOL PARENT COUNCIL,EDMONTON,AB,"98,491",0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
2018,United Way of the Alberta Capital Region,EDMONTON,AB,"1,890",0,https://www.charitydata.ca/charity/the-tevie-miller-heritage-school-society/129030896RR0001/,THE TEVIE MILLER HERITAGE SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129030896RR0001,n/a,CA,Alberta,EDMONTON,1
