donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,La Fondation Choquette-Legault,SAINT-ADOLPHE-D'HOWARD,QC,"116,600",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2021,FONDATION CHAMANDY,MONTREAL,QC,"50,000",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2021,THE TROTTIER FAMILY FOUNDATION/LA FONDATION FAMILIALE TROTTIER,MONTREAL,QC,"22,660",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2020,THE TROTTIER FAMILY FOUNDATION/LA FONDATION FAMILIALE TROTTIER,MONTREAL,QC,"300,000",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2020,Fondation Mirella & Lino Saputo,SAINT-LEONARD,QC,"115,970",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2020,CENTRAIDE DU GRAND MONTREAL/CENTRAIDE OF GREATER MONTREAL,MONTREAL,QC,"63,700",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2020,FONDATION CHAMANDY,MONTREAL,QC,"50,000",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2019,CENTRAIDE DU GRAND MONTREAL/CENTRAIDE OF GREATER MONTREAL,MONTREAL,QC,"402,270",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2019,Fondation Mirella & Lino Saputo,SAINT-LEONARD,QC,"40,000",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2019,PayPal Giving Fund Canada,TORONTO,ON,"1,061",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2018,CENTRAIDE DU GRAND MONTREAL/CENTRAIDE OF GREATER MONTREAL,MONTREAL,QC,"207,020",0,https://www.charitydata.ca/charity/un-itineraire-pour-tous/814219275RR0001/,UN ITINÉRAIRE POUR TOUS,Advancement of Education,Teaching Institutions / Other,Charitable Organization,814219275RR0001,n/a,CA,Quebec,MONTREAL-NORD,5
2021,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,729,0,https://www.charitydata.ca/charity/universal-educational-institute-of-canada/139482715RR0001/,UNIVERSAL EDUCATIONAL INSTITUTE OF CANADA,Advancement of Education,Teaching Institutions / Other,Charitable Organization,139482715RR0001,n/a,CA,Alberta,EDMONTON,5
2020,THE EDMONTON LEARNING TRUST FUND,EDMONTON,AB,"134,500",0,https://www.charitydata.ca/charity/universal-educational-institute-of-canada/139482715RR0001/,UNIVERSAL EDUCATIONAL INSTITUTE OF CANADA,Advancement of Education,Teaching Institutions / Other,Charitable Organization,139482715RR0001,n/a,CA,Alberta,EDMONTON,5
2020,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,174,0,https://www.charitydata.ca/charity/universal-educational-institute-of-canada/139482715RR0001/,UNIVERSAL EDUCATIONAL INSTITUTE OF CANADA,Advancement of Education,Teaching Institutions / Other,Charitable Organization,139482715RR0001,n/a,CA,Alberta,EDMONTON,5
2018,THE EDMONTON LEARNING TRUST FUND,EDMONTON,AB,"2,380,000",0,https://www.charitydata.ca/charity/universal-educational-institute-of-canada/139482715RR0001/,UNIVERSAL EDUCATIONAL INSTITUTE OF CANADA,Advancement of Education,Teaching Institutions / Other,Charitable Organization,139482715RR0001,n/a,CA,Alberta,EDMONTON,5
2018,JEWISH FEDERATION OF EDMONTON,EDMONTON,AB,"81,000",0,https://www.charitydata.ca/charity/universal-educational-institute-of-canada/139482715RR0001/,UNIVERSAL EDUCATIONAL INSTITUTE OF CANADA,Advancement of Education,Teaching Institutions / Other,Charitable Organization,139482715RR0001,n/a,CA,Alberta,EDMONTON,5
2021,Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada,KINGSTON,ON,"1,000",0,https://www.charitydata.ca/charity/university-nuhelotine-tthaiyotsi-nistameymakanak-blue-quills/138003231RR0003/,University nuhelot'ine tthaiyots'i nistameymakânak Blue Quills,Advancement of Education,Teaching Institutions / Other,Charitable Organization,138003231RR0003,n/a,CA,Alberta,ST PAUL,5
2021,CANADAHELPS CANADON,TORONTO,ON,409,0,https://www.charitydata.ca/charity/university-nuhelotine-tthaiyotsi-nistameymakanak-blue-quills/138003231RR0003/,University nuhelot'ine tthaiyots'i nistameymakânak Blue Quills,Advancement of Education,Teaching Institutions / Other,Charitable Organization,138003231RR0003,n/a,CA,Alberta,ST PAUL,5
2021,PayPal Giving Fund Canada,TORONTO,ON,100,0,https://www.charitydata.ca/charity/university-nuhelotine-tthaiyotsi-nistameymakanak-blue-quills/138003231RR0003/,University nuhelot'ine tthaiyots'i nistameymakânak Blue Quills,Advancement of Education,Teaching Institutions / Other,Charitable Organization,138003231RR0003,n/a,CA,Alberta,ST PAUL,5
2020,PayPal Giving Fund Canada,TORONTO,ON,100,0,https://www.charitydata.ca/charity/university-nuhelotine-tthaiyotsi-nistameymakanak-blue-quills/138003231RR0003/,University nuhelot'ine tthaiyots'i nistameymakânak Blue Quills,Advancement of Education,Teaching Institutions / Other,Charitable Organization,138003231RR0003,n/a,CA,Alberta,ST PAUL,5
2020,CANADAHELPS CANADON,TORONTO,ON,72,0,https://www.charitydata.ca/charity/university-nuhelotine-tthaiyotsi-nistameymakanak-blue-quills/138003231RR0003/,University nuhelot'ine tthaiyots'i nistameymakânak Blue Quills,Advancement of Education,Teaching Institutions / Other,Charitable Organization,138003231RR0003,n/a,CA,Alberta,ST PAUL,5
