donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,CHRISTIAN STEWARDSHIP SERVICES,MARKHAM,ON,"129,556",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,CHRISTIAN SCHOOL FOUNDATION (CANADA) INC.,HAMILTON,ON,"38,106",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,LINK CHARITY CANADA INC,TORONTO,ON,"12,569",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada,KINGSTON,ON,"10,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,FIRST CHRISTIAN REFORMED CHURCH OF BARRIE,BARRIE,ON,"4,849",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,COVENANT CHRISTIAN REFORMED CHURCH OF BARRIE,BARRIE,ON,"4,014",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,MARANATHA CHRISTIAN REFORMED CHURCH OF WOODBRIDGE,WOODBRIDGE,ON,"3,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,CANADAHELPS CANADON,TORONTO,ON,"1,248",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,450,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,CHRISTIAN SCHOOL FOUNDATION (CANADA) INC.,HAMILTON,ON,"15,430",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,CANADAHELPS CANADON,TORONTO,ON,"4,427",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,MARANATHA CHRISTIAN REFORMED CHURCH OF WOODBRIDGE,WOODBRIDGE,ON,"2,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,EMMANUEL BAPTIST CHURCH OF BARRIE,BARRIE,ON,"1,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,GRACE UNITED REFORMED CHURCH OF SIMCOE COUNTY,ORILLIA,ON,473,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,15,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,CHRISTIAN SCHOOL FOUNDATION (CANADA) INC.,HAMILTON,ON,"7,597",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,FIRST CHRISTIAN REFORMED CHURCH OF BARRIE,BARRIE,ON,"5,809",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,EMMANUEL BAPTIST CHURCH OF BARRIE,BARRIE,ON,"3,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,CANADAHELPS CANADON,TORONTO,ON,648,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,GRACE UNITED REFORMED CHURCH OF SIMCOE COUNTY,ORILLIA,ON,578,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,485,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2019,ONTARIO CREDIT UNION FOUNDATION,OAKVILLE,ON,50,0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada,KINGSTON,ON,"50,000",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,CHRISTIAN SCHOOL FOUNDATION (CANADA) INC.,HAMILTON,ON,"10,911",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,FIRST CHRISTIAN REFORMED CHURCH OF BARRIE,BARRIE,ON,"7,321",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,COVENANT CHRISTIAN REFORMED CHURCH OF BARRIE,BARRIE,ON,"2,908",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,CHRISTIAN STEWARDSHIP SERVICES,MARKHAM,ON,"2,701",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
2018,EMMANUEL BAPTIST CHURCH OF BARRIE,BARRIE,ON,"2,065",0,https://www.charitydata.ca/charity/timothy-christian-school-barrie/118799501RR0001/,TIMOTHY CHRISTIAN SCHOOL (BARRIE),Advancement of Education,Teaching Institutions / Other,Charitable Organization,118799501RR0001,WWW.TIMOTHYCHRISTIANSCHOOL.CA,CA,Ontario,BARRIE,4
