donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,GRAND RIVER CONSERVATION FOUNDATION,CAMBRIDGE,ON,"1,850",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2021,COMMUNITY OF CHRIST,GRAND VALLEY,ON,300,0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2020,INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE,TORONTO,ON,"12,140",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2020,GRAND RIVER CONSERVATION FOUNDATION,CAMBRIDGE,ON,"1,850",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2020,COMMUNITY OF CHRIST,GRAND VALLEY,ON,"1,500",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2019,ROTARY CLUB OF GUELPH CHARITABLE FOUNDATION,GUELPH,ON,"49,946",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2019,INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE,TORONTO,ON,"17,921",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2019,INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE,TORONTO,ON,"9,610",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2019,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"7,983",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2019,GRAND RIVER CONSERVATION FOUNDATION,CAMBRIDGE,ON,"1,750",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2018,INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE,TORONTO,ON,"6,112",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
2018,UNITED WAY COMMUNITY SERVICES OF GUELPH AND WELLINGTON,GUELPH,ON,"3,900",0,https://www.charitydata.ca/charity/the-upper-grand-district-school-board/892228826RR0002/,THE UPPER GRAND DISTRICT SCHOOL BOARD,Advancement of Education,Teaching Institutions / Public district board (all grades),Charitable Organization,892228826RR0002,WWW.UGDSB.ON.CA,CA,Ontario,GUELPH,7
