donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,UNITED WAY OF GREATER TORONTO,TORONTO,ON,"2,000",0,https://www.charitydata.ca/charity/york-north-family-resource-programmes/137747267RR0001/,YORK NORTH FAMILY RESOURCE PROGRAMMES,Advancement of Education,Teaching Institutions / Other,Charitable Organization,137747267RR0001,WWW.THEFAMILYPLACEMOUNTALBERT.COM,CA,Ontario,MOUNT ALBERT,0
2021,CANADAHELPS CANADON,TORONTO,ON,2,0,https://www.charitydata.ca/charity/york-north-family-resource-programmes/137747267RR0001/,YORK NORTH FAMILY RESOURCE PROGRAMMES,Advancement of Education,Teaching Institutions / Other,Charitable Organization,137747267RR0001,WWW.THEFAMILYPLACEMOUNTALBERT.COM,CA,Ontario,MOUNT ALBERT,0
2018,CANADAHELPS CANADON,TORONTO,ON,67,0,https://www.charitydata.ca/charity/york-north-family-resource-programmes/137747267RR0001/,YORK NORTH FAMILY RESOURCE PROGRAMMES,Advancement of Education,Teaching Institutions / Other,Charitable Organization,137747267RR0001,WWW.THEFAMILYPLACEMOUNTALBERT.COM,CA,Ontario,MOUNT ALBERT,0
2021,Fondation BenefAction/ BenefAction Foundation,TORONTO,ON,"15,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2021,UNITED WAY CENTRAL AND NORTHERN VANCOUVER ISLAND,BURNABY,BC,"6,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2021,ERA FOUNDATION,VANCOUVER,BC,"1,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2020,COMMUNITY FOUNDATIONS OF CANADA,OTTAWA,ON,"24,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2020,THE VICTORIA FOUNDATION,VICTORIA,BC,"20,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2020,FIRST WEST FOUNDATION,LANGLEY,BC,"10,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2020,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,534,0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2019,Charles & Eve Chang Foundation,VANCOUVER,BC,"50,000",0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2019,CHIMP: Charitable Impact Foundation (Canada),VANCOUVER,BC,9,0,https://www.charitydata.ca/charity/young-entrepreneurs-of-canada-association/784382285RR0001/,YOUNG ENTREPRENEURS OF CANADA ASSOCIATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,784382285RR0001,n/a,CA,British Columbia,SURREY,0
2021,CANADAHELPS CANADON,TORONTO,ON,9,0,https://www.charitydata.ca/charity/yukon-music-camp-society/815784079RR0001/,YUKON MUSIC CAMP SOCIETY,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,815784079RR0001,YUKONMUSICCAMP.CA,CA,Yukon,WHITEHORSE,0
