donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,TD FRIENDS OF THE ENVIRONMENT FOUNDATION,TORONTO,ON,"7,000",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2021,CANADAHELPS CANADON,TORONTO,ON,"4,658",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2021,PayPal Giving Fund Canada,TORONTO,ON,"1,866",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2020,CANADAHELPS CANADON,TORONTO,ON,"1,463",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2020,United Way of Newfoundland and Labrador Inc.,ST. JOHN'S,NL,110,0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2020,PayPal Giving Fund Canada,TORONTO,ON,50,0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2019,United Way of Newfoundland and Labrador Inc.,ST. JOHN'S,NL,"7,111",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2019,CANADAHELPS CANADON,TORONTO,ON,675,0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2019,PayPal Giving Fund Canada,TORONTO,ON,650,0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2018,United Way of Newfoundland and Labrador Inc.,ST. JOHN'S,NL,"8,000",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2018,Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada,KINGSTON,ON,"5,000",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2018,CANADAHELPS CANADON,TORONTO,ON,"1,031",0,https://www.charitydata.ca/charity/environmental-education-commission/118900661RR0001/,ENVIRONMENTAL EDUCATION COMMISSION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118900661RR0001,www.brotherbrennancentre.ca,CA,Newfoundland and Labrador,ST. JOHN'S,0
2020,UNITED WAY OF GREATER TORONTO,TORONTO,ON,"1,500",0,https://www.charitydata.ca/charity/epic-school/870714748RR0001/,EPIC SCHOOL,Advancement of Education,Teaching Institutions / Other,Charitable Organization,870714748RR0001,WWW.EPICSCHOOL.COM,CA,Ontario,TORONTO,0
2019,UNITED WAY OF GREATER TORONTO,TORONTO,ON,"3,896",0,https://www.charitydata.ca/charity/epic-school/870714748RR0001/,EPIC SCHOOL,Advancement of Education,Teaching Institutions / Other,Charitable Organization,870714748RR0001,WWW.EPICSCHOOL.COM,CA,Ontario,TORONTO,0
2018,UNITED WAY OF GREATER TORONTO,TORONTO,ON,"2,092",0,https://www.charitydata.ca/charity/epic-school/870714748RR0001/,EPIC SCHOOL,Advancement of Education,Teaching Institutions / Other,Charitable Organization,870714748RR0001,WWW.EPICSCHOOL.COM,CA,Ontario,TORONTO,0
2021,Fondation Amelia & Lino Saputo Amelia & Lino Saputo Founda tion,MONTRÉAL,QC,"10,000",0,https://www.charitydata.ca/charity/equi-vox-inc/865334197RR0001/,EQUI VOX INC,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,865334197RR0001,WWW.EQUIVOX.ORG,CA,Quebec,LA PRAIRIE,0
2020,FONDATION AMELIA & LINO SAPUTO JR. / AMELIA & LINO SAPUTO JR. FOUNDATION,MONTRÉAL,QC,"10,000",0,https://www.charitydata.ca/charity/equi-vox-inc/865334197RR0001/,EQUI VOX INC,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,865334197RR0001,WWW.EQUIVOX.ORG,CA,Quebec,LA PRAIRIE,0
2019,LES PETITES SOEURS DE LA SAINTE-FAMILLE,SHERBROOKE,QC,0,0,https://www.charitydata.ca/charity/equi-vox-inc/865334197RR0001/,EQUI VOX INC,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,865334197RR0001,WWW.EQUIVOX.ORG,CA,Quebec,LA PRAIRIE,0
2018,FONDATION AMELIA & LINO SAPUTO JR. / AMELIA & LINO SAPUTO JR. FOUNDATION,MONTRÉAL,QC,"10,000",0,https://www.charitydata.ca/charity/equi-vox-inc/865334197RR0001/,EQUI VOX INC,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,865334197RR0001,WWW.EQUIVOX.ORG,CA,Quebec,LA PRAIRIE,0
2018,LES PETITES SOEURS DE LA SAINTE-FAMILLE,SHERBROOKE,QC,0,0,https://www.charitydata.ca/charity/equi-vox-inc/865334197RR0001/,EQUI VOX INC,Advancement of Education,Education in the arts / Music conservatory / school / society,Charitable Organization,865334197RR0001,WWW.EQUIVOX.ORG,CA,Quebec,LA PRAIRIE,0
2020,THE CANADIAN FOUNDATION FOR COOPERATION AND DEVELOPMENT,MONTREAL,QC,"109,300",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,NORTHMOUNT FOUNDATION INC.,NESTLETON STATION,ON,"30,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,WELLSPRING CULTURAL FOUNDATION,TORONTO,ON,"1,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,THE EN ROUTE FOUNDATION/LA FONDATION EN ROUTE,MONTREAL,QC,"1,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,QUEEN OF THE HOLY ROSARY SHRINE,AJAX,ON,"1,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,My Charity Fund,NORTH YORK,ON,492,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,CANADAHELPS CANADON,TORONTO,ON,348,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,UNITED WAY OF GREATER TORONTO,TORONTO,ON,100,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,97,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2019,THE CANADIAN FOUNDATION FOR COOPERATION AND DEVELOPMENT,MONTREAL,QC,"121,500",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2019,THE EN ROUTE FOUNDATION/LA FONDATION EN ROUTE,MONTREAL,QC,"1,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2019,CANADAHELPS CANADON,TORONTO,ON,817,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2019,UNITED WAY OF GREATER TORONTO,TORONTO,ON,100,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2018,THE CANADIAN FOUNDATION FOR COOPERATION AND DEVELOPMENT,MONTREAL,QC,"138,200",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2018,THE EN ROUTE FOUNDATION/LA FONDATION EN ROUTE,MONTREAL,QC,"1,000",0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2018,CANADAHELPS CANADON,TORONTO,ON,796,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2018,UNITED WAY OF GREATER TORONTO,TORONTO,ON,183,0,https://www.charitydata.ca/charity/ernescliff-foundation/118970979RR0001/,ERNESCLIFF FOUNDATION,Advancement of Education,Support of schools and education / Other,Charitable Organization,118970979RR0001,n/a,CA,Ontario,TORONTO,0
2020,THE WINNIPEG FOUNDATION,WINNIPEG,MB,"5,000",0,https://www.charitydata.ca/charity/ethio-canadian-cultural-academy-inc/846766806RR0001/,ETHIO-CANADIAN CULTURAL ACADEMY INC.,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,846766806RR0001,n/a,CA,Manitoba,WINNIPEG,0
2020,CHARITIES AID FOUNDATION CANADA,TORONTO,ON,617,0,https://www.charitydata.ca/charity/ethio-canadian-cultural-academy-inc/846766806RR0001/,ETHIO-CANADIAN CULTURAL ACADEMY INC.,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,846766806RR0001,n/a,CA,Manitoba,WINNIPEG,0
2019,THE WINNIPEG FOUNDATION,WINNIPEG,MB,"12,000",0,https://www.charitydata.ca/charity/ethio-canadian-cultural-academy-inc/846766806RR0001/,ETHIO-CANADIAN CULTURAL ACADEMY INC.,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,846766806RR0001,n/a,CA,Manitoba,WINNIPEG,0
2018,TD Securities Underwriting Hope Fund,TORONTO,ON,"5,000",0,https://www.charitydata.ca/charity/ethio-canadian-cultural-academy-inc/846766806RR0001/,ETHIO-CANADIAN CULTURAL ACADEMY INC.,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,846766806RR0001,n/a,CA,Manitoba,WINNIPEG,0
2018,THE WINNIPEG FOUNDATION,WINNIPEG,MB,"1,000",0,https://www.charitydata.ca/charity/ethio-canadian-cultural-academy-inc/846766806RR0001/,ETHIO-CANADIAN CULTURAL ACADEMY INC.,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,846766806RR0001,n/a,CA,Manitoba,WINNIPEG,0
