donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2019,THE MACDONALD STEWART FOUNDATION - LA FONDATION MACDONALD STEWART,MONTREAL,QC,"14,000",0,https://www.charitydata.ca/charity/78th-fraser-highlanders---fort-victoria-historical-society/845496207RR0001/,78TH FRASER HIGHLANDERS - FORT VICTORIA HISTORICAL SOCIETY,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,845496207RR0001,WWW.78FRASERVICTORIA.CA,CA,British Columbia,SIDNEY,0
2018,THE MACDONALD STEWART FOUNDATION - LA FONDATION MACDONALD STEWART,MONTREAL,QC,"5,000",0,https://www.charitydata.ca/charity/78th-fraser-highlanders---fort-victoria-historical-society/845496207RR0001/,78TH FRASER HIGHLANDERS - FORT VICTORIA HISTORICAL SOCIETY,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,845496207RR0001,WWW.78FRASERVICTORIA.CA,CA,British Columbia,SIDNEY,0
2021,CANADAHELPS CANADON,TORONTO,ON,"7,286",0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2021,KIND CANADA GÉNÉREUX,OTTAWA,ON,500,0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2021,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,360,0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2020,Ottawa Community Foundation / Fondation Communautaire d'Ottawa,OTTAWA,ON,"12,000",0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2020,CANADAHELPS CANADON,TORONTO,ON,"5,786",0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,964,0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2020,PayPal Giving Fund Canada,TORONTO,ON,510,0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
2020,UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO,OTTAWA,ON,182,0,https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,879738623RR0001,WWW.FOOLS.CA,CA,Ontario,OTTAWA,0
