donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,"25,000",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2021,CONGREGATION OF NOTRE DAME VISITATION PROVINCE INC.,BEDFORD,NS,"20,000",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2021,CANADAHELPS CANADON,TORONTO,ON,"15,540",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2021,SISTERS OF CHARITY MOUNT SAINT VINCENT,HALIFAX,NS,"7,500",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2021,PayPal Giving Fund Canada,TORONTO,ON,"2,685",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2021,ECOJUSTICE CANADA SOCIETY,VANCOUVER,BC,250,0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2020,NOVA SCOTIA WOMEN?S HISTORY SOCIETY,HALIFAX,NS,"2,000",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2020,PayPal Giving Fund Canada,TORONTO,ON,545,0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2019,NATIONAL INDIAN BROTHERHOOD TRUST FUND,AKWESASNE,ON,"60,000",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2018,NATIONAL INDIAN BROTHERHOOD TRUST FUND,AKWESASNE,ON,"60,000",0,https://www.charitydata.ca/charity/mikmawey-debert-cultural-centre/867004517RR0001/,MI'KMAWEY DEBERT CULTURAL CENTRE,Advancement of Education,Education in the arts / Other,Charitable Organization,867004517RR0001,CMMNS.COM,CA,Nova Scotia,TRURO,3
2020,CANADAHELPS CANADON,TORONTO,ON,9,0,https://www.charitydata.ca/charity/mirador-des-marmots/892213877RR0001/,MIRADOR DES MARMOTS,Advancement of Education,Teaching Institutions / Other,Public Foundation,892213877RR0001,n/a,CA,Quebec,CHIBOUGAMAU,3
2021,CARTHY FOUNDATION,CALGARY,AB,"5,000",0,https://www.charitydata.ca/charity/montessori-school-of-calgary/138876065RR0001/,MONTESSORI SCHOOL OF CALGARY,Advancement of Education,Teaching Institutions / Independent elementary schools (includes religious),Charitable Organization,138876065RR0001,n/a,CA,Alberta,CALGARY,3
2020,CARTHY FOUNDATION,CALGARY,AB,"5,000",0,https://www.charitydata.ca/charity/montessori-school-of-calgary/138876065RR0001/,MONTESSORI SCHOOL OF CALGARY,Advancement of Education,Teaching Institutions / Independent elementary schools (includes religious),Charitable Organization,138876065RR0001,n/a,CA,Alberta,CALGARY,3
