donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,CANADAHELPS CANADON,TORONTO,ON,"2,321",0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2021,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,100,0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2020,CANADAHELPS CANADON,TORONTO,ON,"3,523",0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2019,CANADAHELPS CANADON,TORONTO,ON,"5,855",0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2019,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,100,0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2019,PayPal Giving Fund Canada,TORONTO,ON,30,0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2018,CANADAHELPS CANADON,TORONTO,ON,"3,368",0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2018,THE MCLEAN FOUNDATION,TORONTO,ON,"2,000",0,https://www.charitydata.ca/charity/the-ontario-archaeological-society/108090820RR0001/,THE ONTARIO ARCHAEOLOGICAL SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,108090820RR0001,WWW.ONTARIOARCHAEOLOGY.ORG,CA,Ontario,TORONTO,0
2021,RAYMOND JAMES CANADA FOUNDATION,VANCOUVER,BC,"3,000",0,https://www.charitydata.ca/charity/the-ontario-federation-of-home-and-school-associations/870729266RR0001/,THE ONTARIO FEDERATION OF HOME AND SCHOOL ASSOCIATIONS,Advancement of Education,Support of schools and education / Other,Charitable Organization,870729266RR0001,WWW.OFHSA.ON.CA,CA,Ontario,HAMILTON,0
2021,COMMUNITY FOUNDATION GREY BRUCE,OWEN SOUND,ON,"3,000",0,https://www.charitydata.ca/charity/the-ontario-federation-of-home-and-school-associations/870729266RR0001/,THE ONTARIO FEDERATION OF HOME AND SCHOOL ASSOCIATIONS,Advancement of Education,Support of schools and education / Other,Charitable Organization,870729266RR0001,WWW.OFHSA.ON.CA,CA,Ontario,HAMILTON,0
