donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2020,PayPal Giving Fund Canada,TORONTO,ON,"8,260",0,https://www.charitydata.ca/charity/first-portuguese-canadian-cultural-centre-of-toronto/126357243RR0001/,FIRST PORTUGUESE CANADIAN CULTURAL CENTRE OF TORONTO,Advancement of Education,Teaching Institutions / Other,Charitable Organization,126357243RR0001,WWW.FIRSTPORTUGUESE.COM,CA,Ontario,TORONTO,1
2020,CANADAHELPS CANADON,TORONTO,ON,124,0,https://www.charitydata.ca/charity/first-portuguese-canadian-cultural-centre-of-toronto/126357243RR0001/,FIRST PORTUGUESE CANADIAN CULTURAL CENTRE OF TORONTO,Advancement of Education,Teaching Institutions / Other,Charitable Organization,126357243RR0001,WWW.FIRSTPORTUGUESE.COM,CA,Ontario,TORONTO,1
2019,UNITED WAY OF GREATER TORONTO,TORONTO,ON,521,0,https://www.charitydata.ca/charity/first-portuguese-canadian-cultural-centre-of-toronto/126357243RR0001/,FIRST PORTUGUESE CANADIAN CULTURAL CENTRE OF TORONTO,Advancement of Education,Teaching Institutions / Other,Charitable Organization,126357243RR0001,WWW.FIRSTPORTUGUESE.COM,CA,Ontario,TORONTO,1
2021,MEADOWRIDGE SCHOOL SOCIETY,MAPLE RIDGE,BC,500,0,https://www.charitydata.ca/charity/first-robotics-british-columbia-society/769954926RR0001/,FIRST ROBOTICS BRITISH COLUMBIA SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,769954926RR0001,n/a,CA,British Columbia,NORTH VANCOUVER,1
2020,UNIVERSITY OF VICTORIA,VICTORIA,BC,"10,000",0,https://www.charitydata.ca/charity/first-robotics-british-columbia-society/769954926RR0001/,FIRST ROBOTICS BRITISH COLUMBIA SOCIETY,Advancement of Education,Support of schools and education / Other,Charitable Organization,769954926RR0001,n/a,CA,British Columbia,NORTH VANCOUVER,1
2020,FONDATION FRANCOIS BOURGEOIS LTEE,VICTORIAVILLE,QC,"10,000",0,https://www.charitydata.ca/charity/fleuve-espace-danse/807559950RR0001/,Fleuve Espace-danse,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,807559950RR0001,WWW.FLEUVE-ESPACEDANSE.COM,CA,Quebec,ST-JEAN-PORT-JOLI,1
2020,CANADAHELPS CANADON,TORONTO,ON,327,0,https://www.charitydata.ca/charity/fmc-fair-mining-collaborative-society/867083248RR0001/,FMC FAIR MINING COLLABORATIVE SOCIETY,Advancement of Education,Research / Sciences / physics / chemistry,Charitable Organization,867083248RR0001,n/a,CA,British Columbia,VICTORIA,1
2019,CANADAHELPS CANADON,TORONTO,ON,231,0,https://www.charitydata.ca/charity/fmc-fair-mining-collaborative-society/867083248RR0001/,FMC FAIR MINING COLLABORATIVE SOCIETY,Advancement of Education,Research / Sciences / physics / chemistry,Charitable Organization,867083248RR0001,n/a,CA,British Columbia,VICTORIA,1
2018,CANADAHELPS CANADON,TORONTO,ON,249,0,https://www.charitydata.ca/charity/fmc-fair-mining-collaborative-society/867083248RR0001/,FMC FAIR MINING COLLABORATIVE SOCIETY,Advancement of Education,Research / Sciences / physics / chemistry,Charitable Organization,867083248RR0001,n/a,CA,British Columbia,VICTORIA,1
2021,Children's Aid Foundation of Canada,TORONTO,ON,"97,200",0,https://www.charitydata.ca/charity/fondation-ancrage-jeunesse/743346512RR0001/,Fondation Ancrage Jeunesse,Advancement of Education,Support of schools and education / Other,Charitable Organization,743346512RR0001,n/a,CA,Quebec,QUEBEC,1
