donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,CANADIAN REFORMED TEACHER'S COLLEGE ASSOCIATION,HAMILTON,ON,"3,500",0,https://www.charitydata.ca/charity/canadian-reformed-school-association/118835784RR0001/,CANADIAN REFORMED SCHOOL ASSOCIATION,Advancement of Education,Teaching Institutions / Other,Charitable Organization,118835784RR0001,n/a,CA,British Columbia,SURREY,5
2020,CANADIAN REFORMED TEACHER'S COLLEGE ASSOCIATION,HAMILTON,ON,"3,500",0,https://www.charitydata.ca/charity/canadian-reformed-school-association/118835784RR0001/,CANADIAN REFORMED SCHOOL ASSOCIATION,Advancement of Education,Teaching Institutions / Other,Charitable Organization,118835784RR0001,n/a,CA,British Columbia,SURREY,5
2019,CANADIAN REFORMED TEACHER'S COLLEGE ASSOCIATION,HAMILTON,ON,"3,500",0,https://www.charitydata.ca/charity/canadian-reformed-school-association/118835784RR0001/,CANADIAN REFORMED SCHOOL ASSOCIATION,Advancement of Education,Teaching Institutions / Other,Charitable Organization,118835784RR0001,n/a,CA,British Columbia,SURREY,5
2018,Canadian Reformed Teacher's College Association,Hamilton,ON,"6,300",0,https://www.charitydata.ca/charity/canadian-reformed-school-association/118835784RR0001/,CANADIAN REFORMED SCHOOL ASSOCIATION,Advancement of Education,Teaching Institutions / Other,Charitable Organization,118835784RR0001,n/a,CA,British Columbia,SURREY,5
2019,CANADIAN REFORMED CHURCH OF ALDERGROVE,ALDERGROVE,BC,"16,000",0,https://www.charitydata.ca/charity/canadian-reformed-school-association-of-langley-bc/106866163RR0001/,"CANADIAN REFORMED SCHOOL ASSOCIATION OF LANGLEY, B.C.",Advancement of Education,Teaching Institutions / Other,Charitable Organization,106866163RR0001,WWW.CREDOCES.ORG,CA,British Columbia,LANGLEY,5
2019,AQUEDUCT FOUNDATION,VANCOUVER,BC,"1,500",0,https://www.charitydata.ca/charity/canadian-reformed-school-association-of-langley-bc/106866163RR0001/,"CANADIAN REFORMED SCHOOL ASSOCIATION OF LANGLEY, B.C.",Advancement of Education,Teaching Institutions / Other,Charitable Organization,106866163RR0001,WWW.CREDOCES.ORG,CA,British Columbia,LANGLEY,5
2018,CANADIAN REFORMED CHURCH OF ALDERGROVE,ALDERGROVE,BC,500,0,https://www.charitydata.ca/charity/canadian-reformed-school-association-of-langley-bc/106866163RR0001/,"CANADIAN REFORMED SCHOOL ASSOCIATION OF LANGLEY, B.C.",Advancement of Education,Teaching Institutions / Other,Charitable Organization,106866163RR0001,WWW.CREDOCES.ORG,CA,British Columbia,LANGLEY,5
2021,Covenant Canadian Reformed Teachers College,Hamilton,ON,"25,600",0,https://www.charitydata.ca/charity/canadian-reformed-school-society-of-carman-inc/129951653RR0001/,CANADIAN REFORMED SCHOOL SOCIETY OF CARMAN INC.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129951653RR0001,n/a,CA,Manitoba,CARMAN,5
2020,COVENANT CANADIAN REFORMED TEACHERS COLLEGE,HAMILTON,ON,"24,600",0,https://www.charitydata.ca/charity/canadian-reformed-school-society-of-carman-inc/129951653RR0001/,CANADIAN REFORMED SCHOOL SOCIETY OF CARMAN INC.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129951653RR0001,n/a,CA,Manitoba,CARMAN,5
2019,COVENANT CANADIAN REFORMED TEACHERS COLLEGE,HAMILTON,ON,"23,100",0,https://www.charitydata.ca/charity/canadian-reformed-school-society-of-carman-inc/129951653RR0001/,CANADIAN REFORMED SCHOOL SOCIETY OF CARMAN INC.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,129951653RR0001,n/a,CA,Manitoba,CARMAN,5
