donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,CANADAHELPS CANADON,TORONTO,ON,526,0,https://www.charitydata.ca/charity/maigwenn-et-les-orteils/837823996RR0001/,MAÏ(G)WENN ET LES ORTEILS,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,837823996RR0001,n/a,CA,Quebec,VERDUN,0
2020,CANADAHELPS CANADON,TORONTO,ON,192,0,https://www.charitydata.ca/charity/maigwenn-et-les-orteils/837823996RR0001/,MAÏ(G)WENN ET LES ORTEILS,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,837823996RR0001,n/a,CA,Quebec,VERDUN,0
2019,CANADAHELPS CANADON,TORONTO,ON,"1,939",0,https://www.charitydata.ca/charity/maigwenn-et-les-orteils/837823996RR0001/,MAÏ(G)WENN ET LES ORTEILS,Advancement of Education,Education in the arts / Theatre / film / drama school / society / company,Charitable Organization,837823996RR0001,n/a,CA,Quebec,VERDUN,0
2021,LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS,OUTREMONT,QC,"15,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2021,LES SOEURS DES SAINTS NOMS DE JESUS ET DE MARIE DU QUEBEC,LONGEUIL,QC,0,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,La Fondation du Grand Montréal - The Foundation of Greater Montreal,MONTRÉAL,QC,"21,254",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,Fondation Famille Godin - Godin Family Foundation,MONTREAL,QC,"10,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,Les Frères des Ecoles Chrétiennes du Canada Francophone,LONGUEUIL,QC,"5,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS,OUTREMONT,QC,"2,100",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,25,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,LES SOEURS DES SAINTS NOMS DE JESUS ET DE MARIE DU QUEBEC,LONGEUIL,QC,0,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,La Fondation du Grand Montréal - The Foundation of Greater Montreal,MONTRÉAL,QC,"148,448",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS,OUTREMONT,QC,"50,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS,OUTREMONT,QC,"10,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,Fondation Sibylla Hesse,MONTRÉAL,QC,"4,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,FONDATION LAURE GAUDREAULT,QUEBEC,QC,400,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2019,LES SOEURS DES SAINTS NOMS DE JESUS ET DE MARIE DU QUEBEC,LONGEUIL,QC,0,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2018,Fondation Famille Godin - Godin Family Foundation,MONTREAL,QC,"20,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2018,LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS,OUTREMONT,QC,"15,000",0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2018,LES SOEURS DES SAINTS NOMS DE JESUS ET DE MARIE DU QUEBEC,LONGEUIL,QC,0,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2018,LES SOEURS DES SAINTS NOMS DE JESUS ET DE MARIE DU QUEBEC,LONGEUIL,QC,0,0,https://www.charitydata.ca/charity/maison-des-enfants-marie-rose/829925817RR0001/,Maison des Enfants Marie-Rose,Advancement of Education,Support of schools and education / Other,Charitable Organization,829925817RR0001,n/a,CA,Quebec,BEAUHARNOIS,0
2020,ARMIN & DENISE MARTENS FOUNDATION INC.,EAST ST. PAUL,MB,"1,000",0,https://www.charitydata.ca/charity/manitobans-for-german-language-education-mgle-inc/871938312RR0001/,MANITOBANS FOR GERMAN LANGUAGE EDUCATION (MGLE) INC.,Advancement of Education,Support of schools and education / Other,Charitable Organization,871938312RR0001,WWW.MGLEINC.ORG,CA,Manitoba,WINNIPEG,0
2020,DECKER CHARITABLE TRUST,BRANDON,MB,300,0,https://www.charitydata.ca/charity/manitobans-for-german-language-education-mgle-inc/871938312RR0001/,MANITOBANS FOR GERMAN LANGUAGE EDUCATION (MGLE) INC.,Advancement of Education,Support of schools and education / Other,Charitable Organization,871938312RR0001,WWW.MGLEINC.ORG,CA,Manitoba,WINNIPEG,0
2020,SILVERWINDS CHARITABLE TRUST,WINNIPEG,MB,250,0,https://www.charitydata.ca/charity/manitobans-for-german-language-education-mgle-inc/871938312RR0001/,MANITOBANS FOR GERMAN LANGUAGE EDUCATION (MGLE) INC.,Advancement of Education,Support of schools and education / Other,Charitable Organization,871938312RR0001,WWW.MGLEINC.ORG,CA,Manitoba,WINNIPEG,0
2019,SPLETZER FAMILY FOUNDATION INC.,WINNIPEG,MB,"2,000",0,https://www.charitydata.ca/charity/manitobans-for-german-language-education-mgle-inc/871938312RR0001/,MANITOBANS FOR GERMAN LANGUAGE EDUCATION (MGLE) INC.,Advancement of Education,Support of schools and education / Other,Charitable Organization,871938312RR0001,WWW.MGLEINC.ORG,CA,Manitoba,WINNIPEG,0
